geoid,name,PctBachHigher,MedHHIncome,PctTravel60MinMore
05000US08085,"Montrose County, CO",23.1,47139,9.5
05000US08087,"Morgan County, CO",14.6,42829,5.9
05000US08089,"Otero County, CO",15.2,31860,4.8
05000US08091,"Ouray County, CO",46.4,66474,10.9
05000US08093,"Park County, CO",33.8,62594,25.4
05000US08095,"Phillips County, CO",19.4,45339,3.4
05000US08097,"Pitkin County, CO",55.3,68621,3.4
05000US08099,"Prowers County, CO",16.3,33671,3.2
05000US08101,"Pueblo County, CO",21.0,41820,4.7
05000US08103,"Rio Blanco County, CO",22.3,58393,12.1
05000US08105,"Rio Grande County, CO",19.0,38329,3.1
05000US08107,"Routt County, CO",45.8,65041,2.2
05000US08109,"Saguache County, CO",21.7,32429,7.2
05000US08111,"San Juan County, CO",30.2,37330,12.4
05000US08113,"San Miguel County, CO",53.6,63766,3.6
05000US08115,"Sedgwick County, CO",14.6,38401,3.2
05000US08117,"Summit County, CO",49.1,64680,3.1
05000US08119,"Teller County, CO",30.6,57970,12.1
05000US08121,"Washington County, CO",18.0,43925,6.1
05000US08123,"Weld County, CO",25.8,56589,8.9
05000US08125,"Yuma County, CO",17.4,45033,2.6
05000US09001,"Fairfield County, CT",44.6,82614,13.2
05000US09003,"Hartford County, CT",34.4,64752,4
05000US09005,"Litchfield County, CT",32.6,71345,9.8
05000US09007,"Middlesex County, CT",39.1,76659,5.5
05000US09009,"New Haven County, CT",32.7,62234,6.4
05000US09011,"New London County, CT",31.2,68310,6.3
05000US09013,"Tolland County, CT",36.7,80887,5.2
05000US09015,"Windham County, CT",21.9,58489,8.2
05000US10001,"Kent County, DE",20.5,55786,9.8
05000US10003,"New Castle County, DE",33.5,64670,7.3
05000US10005,"Sussex County, DE",22.0,52692,6.5
05000US11001,"District of Columbia, DC",51.2,64267,9.3
05000US12001,"Alachua County, FL",41.2,42818,3.2
05000US12003,"Baker County, FL",8.4,47149,11.1
05000US12005,"Bay County, FL",21.3,47364,3.8
05000US12007,"Bradford County, FL",8.6,39082,9.3
05000US12009,"Brevard County, FL",26.2,49099,5.6
05000US12011,"Broward County, FL",29.9,51603,6.9
05000US12013,"Calhoun County, FL",8.5,32480,12.2
05000US12015,"Charlotte County, FL",21.1,44596,6.2
05000US12017,"Citrus County, FL",16.4,39034,8.6
05000US12019,"Clay County, FL",23.5,59649,10.9
05000US12021,"Collier County, FL",31.4,56104,4.8
05000US12023,"Columbia County, FL",13.2,37534,5.2
05000US12027,"DeSoto County, FL",10.8,35683,10.1
05000US12029,"Dixie County, FL",8.1,35476,13.9
05000US12031,"Duval County, FL",25.6,48906,3.7
05000US12033,"Escambia County, FL",23.2,43806,5.1
05000US12035,"Flagler County, FL",23.5,48134,8.3
05000US12037,"Franklin County, FL",15.2,37428,8
05000US12039,"Gadsden County, FL",14.0,35593,7.1
05000US12041,"Gilchrist County, FL",11.8,36521,11.4
05000US12043,"Glades County, FL",10.2,35219,17
05000US12045,"Gulf County, FL",13.8,39535,12.3
05000US12047,"Hamilton County, FL",8.1,36875,3.5
